ProjectTypes,LEEDSystemVersionDisplayName,Count
"Lodging: Hotel/Motel/Resort, Limited Service",LEED-NC v2009,3
"Commercial Office, Retail, Recreation, Restaurant",LEED-CS 2.0,1
Recreation,LEED-NC 2.1,1
"Public Order/Safety, Military Base",LEED-NC 2.2,2
Retail,LEED for Retail (CI) Pilot,15
Core Learning Space: Preschool/Daycare,LEED-CI v2009,1
Industrial Manufacturing,LEED-NC v2009,6
Higher Education,LEED-CI 2.0,1
"Retail, Higher Education",LEED-NC 2.2,1
K-12 Education,LEED for Schools,32
Office: Mixed-Use,LEED-EB:OM v2009,68
"Commercial Office, Retail, Restaurant, Assembly",LEED-EB O&M,1
"Recreation, Public Order/Safety, Community Dev.",LEED-NC 2.2,1
"Multi-Unit Residence, Retail, Restaurant",LEED-NC 2.2,1
"Commercial Office, Multi-Unit Residence, Retail, Restaurant",LEED-NC 2.2,1
"Commercial Office, Retail, Health Care, Other",LEED-NC 2.2,1
"Higher Education, Military Base, Other",LEED-NC 2.2,2
Daycare,LEED-NC 2.1,2
Other,LEED-NC 2.2,15
Retail: Restaurant/Cafeteria,LEED-NC Retail v2009,2
Warehouse and Distribution Center: Self Storage Units,LEED-NC v2009,1
"Warehouse and Distribution Center: Nonrefrigerated, Distribu",LEED-NC v2009,3
Religious Worship,LEED v4 BD+C: NC,1
"Commercial Office, Retail, Multi-Unit Residence",LEED-NC 2.2,1
"Multi-Unit Residence, Retail, Daycare, Restaurant",LEED-NC 2.2,1
"Financial & Comm., Public Order/Safety, Military Base",LEED-NC 2.1,1
"Commercial Office, Retail, Single-Family Home",LEED-NC 2.1,1
"Commercial Office, Restaurant, Retail, Multi-Unit Residence, Hotel/Resort, Transportation, Daycare, Recreation, Library, Park (eg. greenway)",LEED-ND Project Registration 1.0,1
Office: Other Office,LEED-CI v2009,8
"Higher Education, Campus (corp/school), Assembly",LEED-NC 2.2,3
Retail: Grocery Store/Food Market,LEED-CI Retail v2009,3
"Higher Education, Library, Assembly, Other",LEED-NC 2.2,1
Higher Education,LEED-NC 2.1,3
"Retail, Health Care",LEED-NC 2.2,1
"Higher Education, Campus (corp/school)",LEED-EB O&M,1
"Commercial Office, Industrial, Laboratory, Other",LEED-NC 2.1,1
Public Order/Safety,LEED-NC 2.1,3
"Commercial Office, Restaurant",LEED-CS 2.0,2
"Higher Education, Restaurant",LEED-NC 2.2,2
"Higher Education, Library, Campus (corp/school)",LEED-NC 2.2,1
Retail: Bank Branch,LEED-CI Retail v2009,1
Military Base,LEED-NC 2.2,34
"Retail, Community Dev., Assembly, Other",LEED-NC 2.2,1
"Recreation, Stadium/Arena, Higher Education, Campus (corp/school), Assembly",LEED-NC 2.2,1
"Multi-Unit Residence, Commercial Office, Retail, Restaurant",LEED-NC 2.2,1
"Public Order/Safety, Military Base",LEED-NC 2.1,1
"Commercial Office, Restaurant, Retail, Multi-Unit Residence, Transportation, Park (eg. greenway)",LEED-ND Project Registration 1.0,1
Retail,LEED-NC 2.2,9
"Retail, Restaurant",LEED-CS 2.0,1
"Commercial Office, Restaurant, Retail, Interpretive Center, K-12 Education, Recreation, Community Dev., Other",LEED-NC 2.1,1
Office,LEED-EB:OM v2009,1
Public Order and Safety: Fire/Police Station,LEED-CI v2009,1
"Recreation, Interpretive Center, Park (eg. greenway), Community Dev.",LEED-NC 2.2,1
"Public Order/Safety, Assembly",LEED-NC 2.2,1
Public Assembly: Convention Center,LEED-EB:OM v2009,1
"K-12 Education, Library, Campus (corp/school)",LEED for Schools,1
Retail: Enclosed Mall,LEED-CI v2009,2
Healthcare: Nursing Home/ Assisted Living,LEED-NC v2009,3
"Lodging: Hotel/Motel/Resort, Full Service",LEED-CS v2009,1
"Commercial Office, Campus (corp/school)",LEED-CS 2.0,4
Financial & Comm.,LEED-NC 2.1,3
"Restaurant, Assembly, Military Base",LEED-NC 2.2,1
Daycare,LEED-NC 2.2,3
Core Learning Space: Other classroom education,LEED FOR SCHOOLS v2009,1
Animal Care,LEED-EB O&M,1
Health Care: Clinic/Other Outpatient,LEED-CI v2009,2
Warehouse: General,LEED v4 BD+C: WDC,1
"Commercial Office, Financial & Comm., Military Base",LEED-NC 2.2,1
Warehouse: General,LEED-CS v2009,1
Financial & Comm.,LEED-NC 2.2,6
"Commercial Office, Transportation",LEED-NC 2.2,1
"Multi-Unit Residence, Special Needs",LEED-NC 2.2,1
"Commercial Office, Retail, Restaurant",LEED-EB O&M,5
Core Learning Space: College/University,LEED-NC v2009,52
"Commercial Office, Retail, Restaurant, Financial & Comm.",LEED-CS 2.0,1
"Health Care, Community Dev.",LEED-NC 2.2,1
Multi-Family Residential: Condominium,LEED-NC v2009,5
"Transportation, Campus (corp/school)",LEED-NC 2.2,1
"Commercial Office, Financial & Comm.",LEED-NC 2.2,1
"Commercial Office, Retail",LEED-NC 2.2,4
Library,LEED-CS 1.0 Pilot,1
"Commercial Office, Community Dev.",LEED-NC 2.2,1
"Commercial Office, Health Care, Other",LEED-CS 2.0,1
Datacenter,LEED-CS v2009,2
Other,LEED-EB O&M,1
Higher Education,LEED-EB O&M,1
"Restaurant, Retail, Interpretive Center, Assembly",LEED-NC 2.2,1
Library,LEED-NC 2.2,9
"Commercial Office, Industrial, Military Base, Other",LEED-NC 2.2,2
Core Learning Space: K-12 Elementary/Middle School,LEED FOR SCHOOLS v2009,6
"Multi-Unit Residence, Hotel/Resort, Restaurant, Assembly",LEED-NC 2.2,1
Core Learning Space: College/University,LEED-CS v2009,1
"Special Needs, Health Care, Other",LEED-NC 2.2,1
Financial & Comm.,LEED-CI 2.0,1
Other,LEED-NC v2009,4
"Restaurant, Interpretive Center, Assembly",LEED-NC 2.1,1
"Health Care, Military Base",LEED-NC 2.2,2
"Transportation, K-12 Education",LEED-NC 2.2,1
Campus (corp/school),LEED-EB O&M,1
"Multi-Unit Residence, Special Needs, Affordable Housing",LEED For Homes Multi Family Low-Rise,4
Retail: Bank Branch,LEED-NC v2009,1
"",LEED For Homes Multi Family Mid-Rise,1
Retail: Fast Food,LEED-CI Retail v2009,1
Office: Mixed-Use,LEED-NC v2009,17
"Commercial Office, Retail",LEED-NC 2.1,2
Office: Mixed-Use,LEED-CI v2009,3
Office: Administrative/Professional,LEED-CI v2009,75
"Commercial Office, Health Care, Public Order/Safety, Community Dev.",LEED-NC 2.2,1
"Multi-Unit Residence, Health Care, Higher Education",LEED-NC 2.2,1
Retail: Vehicle Dealership,LEED v4 BD+C: Retail,1
Office: Administrative/Professional,LEED-NC v2009,26
"Daycare, K-12 Education, Community Dev.",LEED-NC 2.2,1
"Special Needs, K-12 Education",LEED-NC 2.2,2
"Interpretive Center, Recreation, Park (eg. greenway)",LEED-NC 2.2,1
"Retail, Other",LEED-NC 2.2,2
Office: Financial,LEED-EB:OM v2009,2
K-12 Education,LEED-NC 2.2,4
"Laboratory, Higher Education, Campus (corp/school)",LEED-NC 2.2,8
Service: Vehicle Service/Repair,LEED-NC v2009,5
Public Assembly: Other Assembly,LEED-NC v2009,15
"Transportation, Industrial",LEED-NC 2.2,1
"Restaurant, Assembly, K-12 Education, Library",LEED-NC 2.2,1
"Higher Education, Library, Campus (corp/school), Community Dev.",LEED-NC 2.2,1
"Commercial Office, Health Care, Community Dev.",LEED-CI 2.0,1
Retail: Other Retail,LEED-CS v2009,2
Retail,LEED-CI 2.0,7
Commercial Office,LEED-EB:OM v2009,14
Service: Repair Shop,LEED-NC v2009,4
"Restaurant, Retail, Daycare, Campus (corp/school)",LEED-CS 2.0,1
"Multi-Unit Residence, Affordable Housing",LEED-NC 2.2,1
"Commercial Office, Financial & Comm., Other",LEED-NC 2.2,1
Public Order/Safety,LEED-CI 2.0,1
Retail: Grocery Store/Food Market,LEED-NC Retail v2009,2
"Recreation, Park (eg. greenway), Community Dev., Other",LEED-NC 2.1,1
"Animal Care, Public Order/Safety, Military Base",LEED-NC 2.1,1
"Core Learning Space: K-12, Elementary/Middle School",LEED-EB:OM v2009,3
Hotel/Resort,LEED-NC v2009,1
Assembly,LEED-NC 2.2,3
Transportation,LEED-NC 2.0,1
Health Care,LEED-CI 2.0,1
Commercial Office,LEED-NC 2.0,2
"K-12 Education, Other",LEED-NC 2.1,1
"Commercial Office, Health Care",LEED-CI 2.0,1
"Recreation, Community Dev., Assembly",LEED-NC 2.2,1
"Commercial Office, Assembly, Other",LEED-NC 2.2,1
"Restaurant, Assembly, Higher Education, Community Dev.",LEED-NC 2.1,1
"Recreation, Park (eg. greenway), Community Dev.",LEED-NC 2.2,1
"Commercial Office, Retail, Restaurant",LEED-CS 2.0,6
Non-residential and Residential,LEED-ND v2009 Stage 1,2
Retail: Restaurant/Cafeteria,LEED-NC v2009,9
Retail: Grocery Store/Food Market,LEED-CI v2009,1
Core Learning Space: Preschool/Daycare,LEED-NC v2009,8
Laboratory,LEED-CI v2009,5
"Commercial Office, Assembly",LEED-EB O&M,1
"Stadium/Arena, Higher Education, Recreation, Campus (corp/school), Other",LEED-NC 2.2,1
"Multi-Unit Residence, Military Base",LEED for Schools,1
Industrial,LEED-NC 2.1,3
Healthcare: Inpatient,LEED-NC v2009,1
Warehouse and Distribution Center: Warehouse,LEED-CI v2009,1
"Laboratory, Higher Education, Restaurant, Assembly, Military Base",LEED-NC 2.2,1
Office: Other Office,LEED-EB:OM v2009,2
"Laboratory, Military Base, Other",LEED-NC 2.2,2
"Commercial Office, Health Care, Military Base",LEED-NC 2.2,1
Commercial Office,LEED-CS 1.0 Pilot,3
Community Dev.,LEED-NC 2.2,5
"Multi-Unit Residence, Higher Education, Campus (corp/school)",LEED-NC 2.2,4
"Commercial Office, Industrial",LEED-CS 2.0,1
Healthcare: Outpatient Office (Diagnostic),LEED-CS v2009,1
Public Order/Safety,LEED-NC 2.0,2
Single-Family Home,LEED For Homes Single Family,359
"Multi-Unit Residence, Single-Family Home, Commercial Office, Hotel/Resort",LEED-NC 2.2,2
Office: Mixed-Use,LEED v4 ID+C: CI,1
"Assembly, Recreation, Community Dev.",LEED-NC 2.0,1
Laboratory,LEED-NC 2.2,2
K-12 Education,LEED FOR SCHOOLS v2009,1
Core Learning Space: College/University,LEED-CI v2009,4
Office: Medical (Non-Diagnostic),LEED-CS v2009,3
"Multi-Unit Residence, Hotel/Resort",LEED-NC 2.2,1
"Higher Education, Restaurant, Library",LEED-NC 2.2,1
Retail: Other Retail,LEED-CI v2009,3
Retail: Bank Branch,LEED-EB:OM v2009,9
Higher Education,LEED-NC 2.0,2
"Commercial Office, Industrial",LEED-NC 2.2,9
"Commercial Office, Retail",LEED-CS 2.0,19
"Multi-Unit Residence, Affordable Housing",LEED For Homes Multi Family Low-Rise,2
Office: Medical (Non-Diagnostic),LEED-CI v2009,1
"Commercial Office, Other",LEED-NC 2.1,1
"Laboratory, K-12 Education",LEED-NC 2.1,1
Office: Other Office,LEED-CS v2009,3
"Recreation, Higher Education, Campus (corp/school), Assembly, Military Base",LEED-NC 2.2,1
Industrial,LEED-CS 2.0,2
"Restaurant, Retail, Assembly",LEED-NC 2.2,1
"Multi-Unit Residence, Military Base",LEED-NC 2.2,5
Multi-Unit Residence,LEED For Homes Multi Family Mid-Rise,11
"Laboratory, Military Base",LEED-NC 2.2,2
Office: Administrative/Professional,LEED-EB:OM v2009,46
"Lodging: Hotel/Motel/Resort, Full Service",LEED-NC v2009,11
Health Care: Inpatient,LEED-NC v2009,3
"Other, Interpretive Center",LEED-NC 2.2,1
"Higher Education, Military Base",LEED-NC 2.2,1
Retail: Bank Branch,LEED-NC Retail v2009,2
Retail: Restaurant/Cafeteria,LEED v4 BD+C: NC,1
"Commercial Office, Restaurant, Assembly, Higher Education, Campus (corp/school), Community Dev.",LEED-NC 2.2,1
"",LEED-CS 1.0 Pilot,1
Commercial Office,LEED-CS v2009,2
